   DATE      TIME       LAT       LON      ME  LOCALITY                                   NTOT   NAZ  AZIMUTH RAYLEIGH  KUIPER
08/14/1851  13:20    40.9523  15.6667  6.35n Basilicata                                   97     6  166+-011  uniform  uniform   0.19   0.19 10.0
11/23/1980  18:34    40.8420  15.2832  6.73n Irpinia-Basilicata                         1161    15  126+-011   <0.10   uniform   0.04   0.04 10.0
09/26/1997  09:40    43.0185  12.8791  5.87n Appennino umbro-marc                        869    17  153+-005   <0.01    <0.01    0.05   0.05  8.5
